#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
da_ttip_relighead_approve50;Either [From.GetHerHis] religious head has an opinion of [From.GetHerHim] of at least 50 or [From.GetSheHe] has no religious head\n;;;;;;;;;;;;;x;
da_ttip_relighead_approve75;Either [From.GetHerHis] religious head has an opinion of [From.GetHerHim] of at least 75 or [From.GetSheHe] has no religious head\n;;;;;;;;;;;;;x;
da_ttip_relighead_approve100;Either [From.GetHerHis] religious head has an opinion of [From.GetHerHim] of at least 100 or [From.GetSheHe] has no religious head\n;;;;;;;;;;;;;x;
da_ttip_duke_realm_size;Has a realm size of at least 8, holds 3 county titles, or already has a title of duke rank or higher\n;;;;;;;;;;;;;x;
da_ttip_king_realm_size;Has a realm size of at least 35, holds 3 duchy titles, or already has a title of king rank or higher\n;;;;;;;;;;;;;x;
da_ttip_emperor_realm_size;Has a realm size of at least 180, holds 3 kingdom titles, or already has a title of emperor rank\n;;;;;;;;;;;;;x;
da_ttip_previously_created_from;A title has not already been created from this title\n;;;;;;;;;;;;;x;
da_ttip_new_duchy;A new duchy is founded!;;;;;;;;;;;;;x;
da_ttip_is_current_designate;This title has not already been designated the recipient\n;;;;;;;;;;;;;x;
da_ttip_one_is_designated;A title has been designated to receive this title, and is not already the title's de jure liege\n;;;;;;;;;;;;;x;
da_ttip_control_the_current_dejure_empire;The de jure empire this kingdom belongs to is not held by someone else\n;;;;;;;;;;;;;x;
da_ttip_control_the_current_target;[From.TitledFirstName] controls [Root.GetFullBaseName]\n;;;;;;;;;;;;;x;
da_ttip_transfer;[This.GetFullBaseName] becomes the new de jure liege of [Root.GetFullBaseName]\n;;;;;;;;;;;;;x;
da_ttip_this_is_designated_title;[Root.GetFullBaseName] is designated as the recipient title\n;;;;;;;;;;;;;x;
da_ttip_control_the_current_dejure_kingdom;No other de jure liege of this duchy exists or the recipient kingdom is a de jure vassal of the same empire\n;;;;;;;;;;;;;x;
da_ttip_control_the_current_dejure_duchy;No other de jure liege of this county exists or the recipient duchy is a de jure vassal of the same kingdom\n;;;;;;;;;;;;;x;
da_create_titular_duchy;Create a new titular duchy;;;;;;;;;;;;;x;
da_create_titular_duchy_desc;Create a new titular duchy from the county of [Root.GetBaseName]. It will take the name of [Root.GetBaseName].;;;;;;;;;;;;;x;
da_create_titular_kingdom;Create a new titular kingdom;;;;;;;;;;;;;x;
da_create_titular_kingdom_desc;Create a new titular kingdom from the duchy of [Root.GetBaseName]. It will take the name of [Root.GetBaseName].;;;;;;;;;;;;;x;
da_create_titular_empire;Create a new titular empire;;;;;;;;;;;;;x;
da_create_titular_empire_desc;Create a new titular empire from the kingdom of [Root.GetBaseName]. It will take the name of [Root.GetBaseName].;;;;;;;;;;;;;x;
da_has_title_id_tooltip;[This.GetFullBaseName] has had a title ID assigned\n;;;;;;;;;;;;;x;
da_assign_title_id_tooltip;Assign a new title ID to [This.GetFullBaseName]\n;;;;;;;;;;;;;x;
#;;;;;;;;;;;;;;x;
